 Name                Version      License                                            
 Flask               3.1.3        BSD-3-Clause                                       
 Jinja2              3.1.6        BSD License                                        
 MarkupSafe          3.0.3        BSD-3-Clause                                       
 Werkzeug            3.1.8        BSD-3-Clause                                       
 annotated-types     0.8.0        MIT                                                
 anyio               4.14.2       MIT                                                
 beautifulsoup4      4.15.0       MIT License                                        
 blinker             1.9.0        MIT License                                        
 boto3               1.43.67      Apache-2.0                                         
 botocore            1.43.67      Apache-2.0                                         
 bottle              0.13.4       MIT License                                        
 certifi             2026.7.22    Mozilla Public License 2.0 (MPL 2.0)               
 cffi                2.1.1        MIT-0                                              
 charset-normalizer  3.4.9        MIT                                                
 click               8.4.2        BSD-3-Clause                                       
 clr_loader          0.3.1        UNKNOWN                                            
 colorama            0.4.6        BSD License                                        
 distro              1.9.0        Apache Software License                            
 filelock            3.32.2       MIT                                                
 fsspec              2026.7.0     BSD-3-Clause                                       
 h11                 0.16.0       MIT License                                        
 httpcore            1.0.9        BSD-3-Clause                                       
 httpx               0.28.1       BSD License                                        
 idna                3.18         BSD-3-Clause                                       
 itsdangerous        2.2.0        BSD License                                        
 jiter               0.16.0       MIT                                                
 jmespath            1.1.0        MIT License                                        
 loguru              0.7.3        MIT License                                        
 mpmath              1.3.0        BSD License                                        
 networkx            3.6.1        BSD-3-Clause                                       
 numpy               2.5.1        BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0 
 openai              2.53.0       Apache Software License                            
 pillow              12.3.0       MIT-CMU                                            
 proxy_tools         0.1.0        MIT License                                        
 pyconcrete          1.3.0        Apache Software License                            
 pycparser           3.0          BSD-3-Clause                                       
 pydantic            2.13.4       MIT                                                
 pydantic_core       2.46.4       MIT                                                
 python-dateutil     2.9.0.post0  Apache Software License; BSD License               
 pythonnet           3.1.0        MIT                                                
 pywebview           6.2.1        BSD License                                        
 requests            2.34.2       Apache Software License                            
 s3transfer          0.19.2       Apache Software License                            
 six                 1.17.0       MIT License                                        
 sniffio             1.3.1        Apache Software License; MIT License               
 soupsieve           2.9.2        MIT                                                
 sympy               1.14.0       BSD License                                        
 tqdm                4.70.0       MPL-2.0 AND MIT                                    
 typing-inspection   0.4.2        MIT                                                
 typing_extensions   4.16.0       PSF-2.0                                            
 urllib3             2.7.0        MIT                                                
 websocket-client    1.9.0        Apache Software License                            
 win32_setctime      1.2.0        MIT License                                        
 zstandard           0.25.0       BSD-3-Clause     
